code_column,DispositionID,n_cases,has_sentence_rate,has_plea_rate,has_verdict_rate,has_disposition_date_rate,unique_cases,unique_bookings
DispositionID,171.0,66206,0.9999546868863849,0.9996223907198744,0.00222034256713893,1.0,66031,59553
DispositionID,147.0,44894,0.9978393549249343,0.0003341203724328418,0.0,1.0,44791,39215
DispositionID,,32173,0.009138097162216766,0.004227146986603674,0.0030460323874055887,0.06723028626488049,30369,23613
DispositionID,95.0,16793,0.9994640624069553,0.0006550348359435479,0.0,1.0,16733,14317
DispositionID,73.0,14135,0.7765122037495579,0.6780332507958967,0.6413866289352671,1.0,12464,11823
DispositionID,143.0,10963,0.999726352275837,9.121590805436468e-05,0.0,1.0,10939,9921
DispositionID,84.0,10177,0.7384297926697455,0.7401984867839245,0.739215878942714,1.0,6972,5697
DispositionID,152.0,8299,0.9990360284371611,0.0007229786721291722,0.0,1.0,8282,7936
DispositionID,87.0,7891,0.9759219363832214,0.9744012165758459,0.9738943099733874,1.0,7681,7342
DispositionID,101.0,7743,0.9997417021826166,0.9988376598217745,0.011494252873563218,1.0,7723,7428
DispositionID,37.0,6936,0.0,0.0,0.0,1.0,6205,5241
DispositionID,141.0,6603,1.0,0.998485536877177,0.00015144631228229593,1.0,6587,6138
DispositionID,20.0,6029,0.6802123071819539,0.3383645712390114,0.014761983745231381,1.0,4788,4289
DispositionID,83.0,4877,0.9425876563461144,0.9409473036702891,0.9405372155013327,1.0,4547,3992
DispositionID,26.0,4695,0.0004259850905218317,0.00021299254526091586,0.00021299254526091586,1.0,3948,3112
DispositionID,72.0,3682,0.8191200434546442,0.39299293862031504,0.39082020640956,1.0,3333,3075
DispositionID,1.0,3291,0.001215436037678517,0.0009115770282588879,0.001215436037678517,1.0,3121,2574
DispositionID,32.0,2270,0.0026431718061674008,0.001762114537444934,0.001762114537444934,1.0,2039,1808
DispositionID,98.0,1790,1.0,0.9994413407821229,0.024022346368715083,1.0,1785,1763
DispositionID,65.0,1770,0.0,0.0,0.0,1.0,1767,1686
DispositionID,189.0,1486,0.9973082099596231,0.990578734858681,0.0026917900403768506,1.0,1485,1467
DispositionID,31.0,1259,0.0007942811755361397,0.0,0.0,1.0,1195,1072
DispositionID,150.0,1098,1.0,0.0009107468123861566,0.0,1.0,1062,982
DispositionID,85.0,921,0.0,0.0,0.0,1.0,720,676
DispositionID,27.0,819,0.0,0.0,0.0,1.0,803,774
DispositionID,24.0,783,0.0,0.0,0.0,1.0,561,459
DispositionID,159.0,685,1.0,0.0,0.0,1.0,674,628
DispositionID,149.0,659,1.0,0.0,0.0,1.0,654,623
DispositionID,156.0,434,1.0,0.0,0.0,1.0,432,386
DispositionID,25.0,324,0.0030864197530864196,0.0030864197530864196,0.0030864197530864196,1.0,321,281
DispositionID,160.0,310,1.0,0.0,0.0,1.0,309,286
DispositionID,154.0,284,1.0,0.0,0.0,1.0,283,224
DispositionID,151.0,209,0.9952153110047847,0.0,0.0,1.0,209,179
DispositionID,148.0,153,1.0,0.0,0.0,1.0,153,133
DispositionID,79.0,137,0.5328467153284672,0.021897810218978103,0.021897810218978103,1.0,70,54
DispositionID,140.0,128,1.0,1.0,0.0,1.0,128,119
DispositionID,29.0,126,0.0,0.0,0.0,1.0,119,103
DispositionID,181.0,99,1.0,0.9595959595959596,0.9393939393939394,1.0,98,85
DispositionID,168.0,78,1.0,0.9871794871794872,0.07692307692307693,1.0,78,44
DispositionID,64.0,62,0.7096774193548387,0.7419354838709677,0.7419354838709677,1.0,24,22
DispositionID,51.0,52,0.3076923076923077,0.3076923076923077,0.3076923076923077,1.0,16,1
DispositionID,142.0,37,0.972972972972973,0.0,0.0,1.0,37,36
DispositionID,67.0,37,0.0,0.4594594594594595,0.2972972972972973,1.0,32,27
