file,sheet,is_lookup_like,target_code_columns_present,keyword_columns,n_rows_sample_or_full,n_columns
PreTrial TCUD-ODAR Events.xlsx,Sheet1,False,[],['PI_EVENT'],5000,6
revocationV2.xlsx,revocation,True,"['DispositionID', 'DispositionTypeID', 'DispositionMethodID', 'DispositionEventID', 'OriginalDispositionID', 'OriginalDispositionEvent', 'OriginalDispositionMethodID', 'OriginalDispositionPleaID', 'OriginalDispositionVerdictID', 'OriginalSentenceID', 'LatestDispositionID', 'LatestDispositionMethodID', 'LatestSentenceID', 'JailCaseTypeID']","['CaseID', 'DivisionID', 'CourtTypeID', 'CaseTypeID', 'CaseStatusID', 'StatusDate', 'CaseStateID', 'LatestCasePhaseID', 'CriminalDefendantID', 'PartyID', 'PersonID', 'JailCaseTypeID', 'HighestLevelChargeCount', 'HighestLevelDispositionCount', 'CaseChargeID', 'ChargeCode', 'CsMgmtChargeID', 'CurrentChargeStateID', 'ChargeReducedEnhanced', 'OriginalDispositionPleaID', 'OriginalDispositionPleaDate', 'OriginalDispositionTrialTypeID', 'OriginalDispositionVerdictID', 'OriginalDispositionVerdictDate', 'OriginalDispositionMethodID', 'OriginalDispositionID', 'OriginalDispositionDate', 'OriginalDispositionEvent', 'OriginalSentenceID', 'LatestDispositionMethodID', 'LatestDispositionID', 'LatestDispositionDate', 'LatestSentenceID', 'EarliestKnownChargeID', 'CriminalDefendantHistoryID', 'ActivationEventID', 'ActivationTypeID', 'DispositionID', 'DispositionDate', 'DispositionEventID', 'DispositionTypeID', 'CalendarDaysFilingtoDisposition', 'TimetoDisposition', 'casephaseID', 'CasePhaseCode', 'DispositionMethodID', 'PartyAttorneyID', 'PartyIDRepresenting', 'attorneyID', 'AttorneyCounselTypeID', 'AttorneyCaseStatusID', 'AttorneyStatusDateTime', 'AssignedCourtID', 'OriginalDispositionCourtID', 'LatestDispositonCourtID']",5000,81
SentencingDataPost2013.xlsx,SentencingDataPost2013,True,"['SentenceTypeID', 'SentenceUOMID']","['CriminalSentencingID', 'CaseID', 'PartyID', 'SentenceTypeID', 'ReceivableTypeID', 'AgencyID', 'SentenceUOMID', 'SentenceQuantity', 'SentenceOther', 'SentenceEffectiveDt', 'SentenceConcurrencyFlag', 'DivisionID']",5000,14
SentencingDataPre2013.xlsx,SentencingDataPre2013,True,"['SentenceTypeID', 'SentenceUOMID']","['CriminalSentencingID', 'CaseID', 'PartyID', 'SentenceTypeID', 'ReceivableTypeID', 'AgencyID', 'SentenceUOMID', 'SentenceQuantity', 'SentenceOther', 'SentenceEffectiveDt', 'SentenceConcurrencyFlag', 'DivisionID']",5000,14
171017_CCHCodes_Violent marked by Slayton.xlsx,Sheet1,False,[],"['Code', 'Violent']",2112,6
Booking2010_2012v3.csv,,True,[],"['bookingID', 'PersonID', 'jailID', 'CustodyStatusID', 'CustodyTypeID', 'ReleaseDate', 'ReleaseTime', 'ReleaseReasonID', 'HighestBookingCharge', 'ArrestingAgencyID', 'TimeBookingtoRelease', 'BookingChargeID', 'ChargeCount', 'ChargeCode', 'ChargeDescription', 'ChargeClassID', 'chargedate', 'chargetime', 'ChargeDispositionTypeID', 'ChargeDispositionDate', 'ChargeSentenceDate', 'BookingAuthorityID', 'ChargeStatusID', 'OpenCharge', 'BailTypeID', 'JailChargeCourt']",5000,43
Booking2013_2016v3.csv,,True,[],"['bookingID', 'PersonID', 'jailID', 'CustodyStatusID', 'CustodyTypeID', 'ReleaseDate', 'ReleaseTime', 'ReleaseReasonID', 'HighestBookingCharge', 'ArrestingAgencyID', 'TimeBookingtoRelease', 'BookingChargeID', 'ChargeCount', 'ChargeCode', 'ChargeDescription', 'ChargeClassID', 'chargedate', 'chargetime', 'ChargeDispositionTypeID', 'ChargeDispositionDate', 'ChargeSentenceDate', 'BookingAuthorityID', 'ChargeStatusID', 'OpenCharge', 'BailTypeID', 'JailChargeCourt']",5000,43
CaseData_v2.csv,,True,"['DispositionID', 'DispositionTypeID', 'DispositionMethodID', 'DispositionEventID', 'OriginalDispositionID', 'OriginalDispositionEvent', 'OriginalDispositionMethodID', 'OriginalDispositionPleaID', 'OriginalDispositionVerdictID', 'OriginalSentenceID', 'LatestDispositionID', 'LatestDispositionMethodID', 'LatestSentenceID', 'JailCaseTypeID']","['CaseID', 'DivisionID', 'CourtTypeID', 'CaseTypeID', 'CaseStatusID', 'StatusDate', 'CaseStateID', 'LatestCasePhaseID', 'CriminalDefendantID', 'PartyID', 'PersonID', 'JailCaseTypeID', 'HighestLevelChargeCount', 'HighestLevelDispositionCount', 'CaseChargeID', 'ChargeCode', 'CsMgmtChargeID', 'CurrentChargeStateID', 'ChargeReducedEnhanced', 'OriginalDispositionPleaID', 'OriginalDispositionPleaDate', 'OriginalDispositionTrialTypeID', 'OriginalDispositionVerdictID', 'OriginalDispositionVerdictDate', 'OriginalDispositionMethodID', 'OriginalDispositionID', 'OriginalDispositionDate', 'OriginalDispositionEvent', 'OriginalSentenceID', 'LatestDispositionMethodID', 'LatestDispositionID', 'LatestDispositionDate', 'LatestSentenceID', 'EarliestKnownChargeID', 'CriminalDefendantHistoryID', 'ActivationEventID', 'ActivationTypeID', 'DispositionID', 'DispositionDate', 'DispositionEventID', 'DispositionTypeID', 'CalendarDaysFilingtoDisposition', 'TimetoDisposition', 'casephaseID', 'CasePhaseCode', 'DispositionMethodID', 'PartyAttorneyID', 'PartyIDRepresenting', 'attorneyID', 'AttorneyCounselTypeID', 'AttorneyCaseStatusID', 'AttorneyStatusDateTime', 'AssignedCourtID', 'OriginalDispositionCourtID', 'LatestDispositonCourtID']",5000,81
CaseIDtoBookingChargeIDUPDATED.xlsx,Sheet2,False,[],"['BookingChargeID', 'CaseID']",5000,2
chargecode_description.dta,,True,[],"['chargecode', 'chargecode_numeric', 'chargecode_description']",7041,3
