file,sheet,candidate_outcome_column
CaseData_v2.csv,,JailCaseTypeID
CaseData_v2.csv,,HighestLevelDispositionCount
CaseData_v2.csv,,OriginalDispositionPleaID
CaseData_v2.csv,,OriginalDispositionPleaDate
CaseData_v2.csv,,OriginalDispositionTrialTypeID
CaseData_v2.csv,,OriginalDispositionVerdictID
CaseData_v2.csv,,OriginalDispositionVerdictDate
CaseData_v2.csv,,OriginalDispositionMethodID
CaseData_v2.csv,,OriginalDispositionID
CaseData_v2.csv,,OriginalDispositionDate
CaseData_v2.csv,,OriginalDispositionEvent
CaseData_v2.csv,,OriginalSentenceID
CaseData_v2.csv,,LatestDispositionMethodID
CaseData_v2.csv,,LatestDispositionID
CaseData_v2.csv,,LatestDispositionDate
CaseData_v2.csv,,LatestSentenceID
CaseData_v2.csv,,DispositionID
CaseData_v2.csv,,DispositionDate
CaseData_v2.csv,,DispositionEventID
CaseData_v2.csv,,DispositionTypeID
CaseData_v2.csv,,CalendarDaysFilingtoDisposition
CaseData_v2.csv,,TimetoDisposition
CaseData_v2.csv,,DispositionMethodID
CaseData_v2.csv,,OriginalDispositionCourtID
SentencingDataPre2013.xlsx,SentencingDataPre2013,CriminalSentencingID
SentencingDataPre2013.xlsx,SentencingDataPre2013,SentenceTypeID
SentencingDataPre2013.xlsx,SentencingDataPre2013,SentenceUOMID
SentencingDataPre2013.xlsx,SentencingDataPre2013,SentenceQuantity
SentencingDataPre2013.xlsx,SentencingDataPre2013,SentenceOther
SentencingDataPre2013.xlsx,SentencingDataPre2013,SentenceEffectiveDt
SentencingDataPre2013.xlsx,SentencingDataPre2013,SentenceConcurrencyFlag
SentencingDataPost2013.xlsx,SentencingDataPost2013,CriminalSentencingID
SentencingDataPost2013.xlsx,SentencingDataPost2013,SentenceTypeID
SentencingDataPost2013.xlsx,SentencingDataPost2013,SentenceUOMID
SentencingDataPost2013.xlsx,SentencingDataPost2013,SentenceQuantity
SentencingDataPost2013.xlsx,SentencingDataPost2013,SentenceOther
SentencingDataPost2013.xlsx,SentencingDataPost2013,SentenceEffectiveDt
SentencingDataPost2013.xlsx,SentencingDataPost2013,SentenceConcurrencyFlag
revocationV2.xlsx,revocation,JailCaseTypeID
revocationV2.xlsx,revocation,HighestLevelDispositionCount
revocationV2.xlsx,revocation,OriginalDispositionPleaID
revocationV2.xlsx,revocation,OriginalDispositionPleaDate
revocationV2.xlsx,revocation,OriginalDispositionTrialTypeID
revocationV2.xlsx,revocation,OriginalDispositionVerdictID
revocationV2.xlsx,revocation,OriginalDispositionVerdictDate
revocationV2.xlsx,revocation,OriginalDispositionMethodID
revocationV2.xlsx,revocation,OriginalDispositionID
revocationV2.xlsx,revocation,OriginalDispositionDate
revocationV2.xlsx,revocation,OriginalDispositionEvent
revocationV2.xlsx,revocation,OriginalSentenceID
revocationV2.xlsx,revocation,LatestDispositionMethodID
revocationV2.xlsx,revocation,LatestDispositionID
revocationV2.xlsx,revocation,LatestDispositionDate
revocationV2.xlsx,revocation,LatestSentenceID
revocationV2.xlsx,revocation,DispositionID
revocationV2.xlsx,revocation,DispositionDate
revocationV2.xlsx,revocation,DispositionEventID
revocationV2.xlsx,revocation,DispositionTypeID
revocationV2.xlsx,revocation,CalendarDaysFilingtoDisposition
revocationV2.xlsx,revocation,TimetoDisposition
revocationV2.xlsx,revocation,DispositionMethodID
revocationV2.xlsx,revocation,OriginalDispositionCourtID
