case_column,events_column,left_unique,right_unique,shared_unique,left_overlap_rate,right_overlap_rate
DispositionID,EventResultID,79,19,8,0.1013,0.4211
OriginalDispositionID,EventResultID,74,19,7,0.0946,0.3684
DispositionID,EventCategoryID,79,4,2,0.0253,0.5
DispositionID,AssociatedCaseStatusID,79,4,2,0.0253,0.5
OriginalDispositionID,EventCategoryID,74,4,2,0.027,0.5
OriginalDispositionID,AssociatedCaseStatusID,74,4,2,0.027,0.5
DispositionTypeID,EventCategoryID,6,4,1,0.1667,0.25
DispositionMethodID,EventCategoryID,4,4,1,0.25,0.25
DispositionEventID,EventCode,67,11,0,0.0,0.0
DispositionEventID,EventResultID,67,19,0,0.0,0.0
DispositionEventID,EventCodeID,67,11,0,0.0,0.0
DispositionEventID,EventID,67,52852,0,0.0,0.0
OriginalDispositionEvent,AssociatedCaseStatusID,71,4,0,0.0,0.0
OriginalDispositionEvent,EventCategoryID,71,4,0,0.0,0.0
OriginalDispositionEvent,EventCode,71,11,0,0.0,0.0
DispositionEventID,EventCategoryID,67,4,0,0.0,0.0
OriginalDispositionEvent,EventResultID,71,19,0,0.0,0.0
DispositionEventID,AssociatedCaseStatusID,67,4,0,0.0,0.0
OriginalDispositionEvent,EventID,71,52852,0,0.0,0.0
OriginalDispositionEvent,EventCodeID,71,11,0,0.0,0.0
OriginalDispositionID,EventCodeID,74,11,0,0.0,0.0
OriginalDispositionID,EventID,74,52852,0,0.0,0.0
DispositionID,EventCodeID,79,11,0,0.0,0.0
DispositionID,EventCode,79,11,0,0.0,0.0
DispositionID,EventID,79,52852,0,0.0,0.0
DispositionTypeID,EventCodeID,6,11,0,0.0,0.0
DispositionTypeID,EventID,6,52852,0,0.0,0.0
OriginalDispositionID,EventCode,74,11,0,0.0,0.0
DispositionTypeID,EventCode,6,11,0,0.0,0.0
DispositionTypeID,EventResultID,6,19,0,0.0,0.0
DispositionMethodID,EventID,4,52852,0,0.0,0.0
DispositionTypeID,AssociatedCaseStatusID,6,4,0,0.0,0.0
DispositionMethodID,EventCodeID,4,11,0,0.0,0.0
DispositionMethodID,EventResultID,4,19,0,0.0,0.0
DispositionMethodID,EventCode,4,11,0,0.0,0.0
DispositionMethodID,AssociatedCaseStatusID,4,4,0,0.0,0.0
