column,non_missing,missing,missing_rate,unique_values
JailCaseTypeID,271699,0,0.0,8
HighestLevelDispositionCount,239864,31835,0.1172,16
OriginalDispositionPleaID,117305,154394,0.5683,4
OriginalDispositionPleaDate,117310,154389,0.5682,1732
OriginalDispositionTrialTypeID,170032,101667,0.3742,2
OriginalDispositionVerdictID,31039,240660,0.8858,6
OriginalDispositionVerdictDate,31046,240653,0.8857,1603
OriginalDispositionMethodID,240638,31061,0.1143,4
OriginalDispositionID,239843,31856,0.1172,74
OriginalDispositionDate,239843,31856,0.1172,1961
OriginalDispositionEvent,239843,31856,0.1172,71
OriginalSentenceID,202045,69654,0.2564,15
LatestDispositionMethodID,18070,253629,0.9335,1
LatestDispositionID,12700,258999,0.9533,60
LatestDispositionDate,12700,258999,0.9533,1512
LatestSentenceID,11344,260355,0.9582,14
DispositionID,239526,32173,0.1184,79
DispositionDate,241373,30326,0.1116,1958
DispositionEventID,241373,30326,0.1116,67
DispositionTypeID,241373,30326,0.1116,6
DispositionMethodID,241373,30326,0.1116,4
CalendarDaysFilingtoDisposition,229340,42359,0.1559,2998
TimetoDisposition,229340,42359,0.1559,1735
