value,count,column
5,115349,JailCaseTypeID
3,79267,JailCaseTypeID
4,32741,JailCaseTypeID
2,27148,JailCaseTypeID
6,12507,JailCaseTypeID
1,3885,JailCaseTypeID
8,780,JailCaseTypeID
7,22,JailCaseTypeID
1.0,236855,HighestLevelDispositionCount
,31835,HighestLevelDispositionCount
2.0,1512,HighestLevelDispositionCount
3.0,468,HighestLevelDispositionCount
4.0,251,HighestLevelDispositionCount
5.0,228,HighestLevelDispositionCount
6.0,149,HighestLevelDispositionCount
7.0,114,HighestLevelDispositionCount
8.0,68,HighestLevelDispositionCount
15.0,57,HighestLevelDispositionCount
10.0,39,HighestLevelDispositionCount
28.0,28,HighestLevelDispositionCount
26.0,26,HighestLevelDispositionCount
22.0,23,HighestLevelDispositionCount
11.0,22,HighestLevelDispositionCount
13.0,14,HighestLevelDispositionCount
9.0,10,HighestLevelDispositionCount
,154394,OriginalDispositionPleaID
2.0,82649,OriginalDispositionPleaID
1.0,33296,OriginalDispositionPleaID
3.0,1341,OriginalDispositionPleaID
5.0,19,OriginalDispositionPleaID
,154389,OriginalDispositionPleaDate
9/10/2010,166,OriginalDispositionPleaDate
12/18/2015,156,OriginalDispositionPleaDate
1/23/2015,142,OriginalDispositionPleaDate
1/25/2013,136,OriginalDispositionPleaDate
10/16/2015,136,OriginalDispositionPleaDate
12/20/2012,129,OriginalDispositionPleaDate
7/12/2012,127,OriginalDispositionPleaDate
12/17/2015,127,OriginalDispositionPleaDate
1/21/2011,126,OriginalDispositionPleaDate
11/15/2013,126,OriginalDispositionPleaDate
11/20/2014,125,OriginalDispositionPleaDate
6/26/2015,124,OriginalDispositionPleaDate
8/30/2012,123,OriginalDispositionPleaDate
1/17/2014,123,OriginalDispositionPleaDate
10/8/2015,123,OriginalDispositionPleaDate
12/17/2013,121,OriginalDispositionPleaDate
9/5/2014,120,OriginalDispositionPleaDate
9/9/2011,120,OriginalDispositionPleaDate
1/22/2016,120,OriginalDispositionPleaDate
6/7/2012,120,OriginalDispositionPleaDate
8/5/2011,119,OriginalDispositionPleaDate
12/18/2014,119,OriginalDispositionPleaDate
2/19/2016,119,OriginalDispositionPleaDate
8/4/2011,118,OriginalDispositionPleaDate
2.0,168900,OriginalDispositionTrialTypeID
,101667,OriginalDispositionTrialTypeID
1.0,1132,OriginalDispositionTrialTypeID
,240660,OriginalDispositionVerdictID
1.0,30488,OriginalDispositionVerdictID
4.0,251,OriginalDispositionVerdictID
