column,non_missing_count,missing_count,missing_rate,dtype
attorney_recommendation,6238,228045,0.9734,float64
attorney_bond,46683,187600,0.8007,float64
tcud_score,62400,171883,0.7337,float64
tcud_score_max,63090,171193,0.7307,float64
bond_status,64288,169995,0.7256,str
tcud_event_disposition,64471,169812,0.7248,str
tcud_event_count,71123,163160,0.6964,float64
tcud_event,71123,163160,0.6964,str
bond_type,76215,158068,0.6747,str
risk_score,86855,147428,0.6293,Int64
judge,107652,126631,0.5405,str
officer_recommendation,159754,74529,0.3181,str
bond_recommendation,160662,73621,0.3142,str
bond_granted_raw,168326,65957,0.2815,str
zip_code,198328,35955,0.1535,string
interview_officer,226118,8165,0.0349,str
city,232265,2018,0.0086,string
state,232285,1998,0.0085,str
sex,232741,1542,0.0066,str
race,232741,1542,0.0066,str
age_group,232790,1493,0.0064,category
age_at_booking,232790,1493,0.0064,float64
charge_level,234105,178,0.0008,str
charge_description,234105,178,0.0008,str
charge_code,234105,178,0.0008,str
pretrial_charge_rows,234105,178,0.0008,float64
PK_BKG_NO,234105,178,0.0008,float64
BJ_BK_DATE,234105,178,0.0008,str
unique_pretrial_charges,234105,178,0.0008,float64
bond_amount,234105,178,0.0008,float64
ethnicity,234223,60,0.0003,str
pretrial_id,234283,0,0.0,str
booking_date,234283,0,0.0,datetime64[us]
person_mni,234283,0,0.0,int64
defendant_booking_id,234283,0,0.0,int64
bond_granted_flag,234283,0,0.0,bool
