feature,group_a,group_b,kl_divergence
age_at_booking,I,U,2.733
age_at_booking,B,I,2.6743
age_at_booking,A,I,2.6658
age_at_booking,A,U,1.6599
bond_amount,I,U,1.6397
age_at_booking,W,I,1.339
age_at_booking,B,U,0.9168
age_at_booking,W,U,0.6665
bond_amount,A,I,0.5004
bond_amount,A,U,0.4772
bond_amount,B,I,0.2771
bond_amount,W,I,0.1114
bond_amount,B,U,0.057
zip_code,I,U,0.0436
bond_amount,W,U,0.0366
bond_amount,B,A,0.0363
age_at_booking,W,A,0.0282
bond_amount,W,A,0.027
age_at_booking,B,A,0.0257
zip_code,A,U,0.018
zip_code,A,I,0.017
age_at_booking,W,B,0.0062
zip_code,B,U,0.0034
zip_code,B,I,0.0032
zip_code,W,U,0.0028
zip_code,W,I,0.0027
zip_code,B,A,0.0013
zip_code,W,A,0.0009
bond_amount,W,B,0.0007
zip_code,W,B,0.0003
