rank,feature,protected_attribute,test_name,statistic,p_value,effect_size,effect_size_label,n_observations,notes
1,charge_code,sex,Chi-Square,17587.8925,0.0,0.2667,Cramer's V,234049,dof=938
2,charge_code,ethnicity,Chi-Square,16935.5662,0.0,0.1794,Cramer's V,234045,dof=1870
3,charge_code,race,Chi-Square,27538.7848,0.0,0.1594,Cramer's V,234049,dof=3752
4,bond_status,sex,Chi-Square,2073.429,0.0,0.1584,Cramer's V,81037,dof=41
5,bond_granted_raw,sex,Chi-Square,3873.5755,0.0,0.1413,Cramer's V,194061,dof=1
6,bond_granted_flag,sex,Chi-Square,3873.5755,0.0,0.1413,Cramer's V,194061,dof=1
7,bond_status,ethnicity,Chi-Square,1816.0734,0.0,0.1035,Cramer's V,81004,dof=82
8,charge_level,sex,Chi-Square,2240.9008,0.0,0.0972,Cramer's V,234049,dof=29
9,risk_score,race,Chi-Square,3106.2685,0.0,0.094,Cramer's V,86849,dof=36
10,bond_granted_flag,race,Chi-Square,1427.5307,0.0,0.0856,Cramer's V,194061,dof=4
11,bond_granted_raw,race,Chi-Square,1427.5307,0.0,0.0856,Cramer's V,194061,dof=4
12,age_group,ethnicity,Chi-Square,3162.4165,0.0,0.082,Cramer's V,234174,dof=10
13,charge_level,ethnicity,Chi-Square,3074.7203,0.0,0.0803,Cramer's V,234045,dof=58
14,risk_score,ethnicity,Chi-Square,762.3947,0.0,0.0655,Cramer's V,86847,dof=18
15,judge,sex,Chi-Square,585.0877,0.0,0.0645,Cramer's V,120418,dof=84
16,judge,ethnicity,Chi-Square,1056.6523,0.0,0.0607,Cramer's V,120403,dof=168
17,bond_status,race,Chi-Square,1349.4945,0.0,0.0605,Cramer's V,81037,dof=164
18,risk_score,sex,Chi-Square,252.8984,0.0,0.053,Cramer's V,86849,dof=9
19,charge_level,race,Chi-Square,2681.9461,0.0,0.0524,Cramer's V,234049,dof=116
20,judge,race,Chi-Square,1601.5148,0.0,0.0513,Cramer's V,120418,dof=336
21,bond_type,sex,Chi-Square,230.6151,0.0,0.0487,Cramer's V,90419,dof=16
22,bond_granted_flag,ethnicity,Chi-Square,202.004,0.0,0.0321,Cramer's V,194057,dof=2
23,bond_granted_raw,ethnicity,Chi-Square,202.004,0.0,0.0321,Cramer's V,194057,dof=2
24,age_group,sex,Chi-Square,196.3857,0.0,0.0286,Cramer's V,234226,dof=5
25,bond_type,ethnicity,Chi-Square,147.4958,0.0,0.0253,Cramer's V,90403,dof=32
26,age_group,race,Chi-Square,525.864,0.0,0.0232,Cramer's V,234226,dof=20
27,bond_type,race,Chi-Square,122.7511,1.4e-05,0.0127,Cramer's V,90419,dof=64
28,age_at_booking,ethnicity,Kruskal-Wallis,2970.515,0.0,0.0127,Eta-squared,234174,k=3 groups
29,zip_code,ethnicity,Kruskal-Wallis,743.9258,0.0,0.0037,Eta-squared,199064,k=3 groups
30,bond_amount,sex,Kruskal-Wallis,285.4388,0.0,0.0012,Eta-squared,234049,k=2 groups
31,zip_code,race,Kruskal-Wallis,176.1559,0.0,0.0009,Eta-squared,199115,k=5 groups
32,age_at_booking,race,Kruskal-Wallis,218.8262,0.0,0.0009,Eta-squared,234226,k=5 groups
33,bond_amount,ethnicity,Kruskal-Wallis,199.6175,0.0,0.0008,Eta-squared,234045,k=3 groups
34,age_at_booking,sex,Kruskal-Wallis,111.172,0.0,0.0005,Eta-squared,234226,k=2 groups
35,bond_amount,race,Kruskal-Wallis,16.8977,0.002023,0.0001,Eta-squared,234049,k=5 groups
36,zip_code,sex,Kruskal-Wallis,9.8833,0.001668,0.0,Eta-squared,199115,k=2 groups
