Protected Attribute,race,Count,Mean,Median,Std,Minimum,Maximum,sex,age_group
race,"American Indian
 / Alaska Native",32,2.312,2.0,1.655,0,6,,
race,Asian,1095,1.873,2.0,1.426,0,8,,
race,Black,19837,3.053,3.0,1.547,0,9,,
race,Unknown,65,1.954,2.0,1.419,0,6,,
race,White,64430,2.412,2.0,1.547,0,9,,
sex,,22529,2.458,2.0,1.569,0,9,F,
sex,,62930,2.587,2.0,1.57,0,9,M,
age_group,,27611,2.732,3.0,1.43,0,9,,18-25
age_group,,30504,2.603,2.0,1.548,0,9,,26-35
age_group,,19864,2.368,2.0,1.701,0,9,,36-50
age_group,,7480,2.181,2.0,1.684,0,7,,50+
