EventID,EventDescription,events_code_column,EventCodeID,EventResultID,EventCode,EventCategoryID,AssociatedCaseStatusID
32478389,CAL:BOND FORFEITURE,EventID,,,,,
32478423,CAL:BOND FORFEITURE,EventID,,,,,
32484810,CAL:BOND FORFEITURE,EventID,,,,,
32484910,CAL:BOND FORFEITURE,EventID,,,,,
32484944,CAL:BOND FORFEITURE,EventID,,,,,
32484947,CAL:BOND FORFEITURE,EventID,,,,,
32484980,CAL:BOND FORFEITURE,EventID,,,,,
32485033,CAL:BOND FORFEITURE,EventID,,,,,
32485043,CAL:BOND FORFEITURE,EventID,,,,,
32485070,CAL:BOND FORFEITURE,EventID,,,,,
32485115,CAL:BOND FORFEITURE,EventID,,,,,
32485120,CAL:BOND FORFEITURE,EventID,,,,,
32485147,CAL:BOND FORFEITURE,EventID,,,,,
32485287,CAL:BOND FORFEITURE,EventID,,,,,
32485331,CAL:BOND FORFEITURE,EventID,,,,,
32485370,CAL:BOND FORFEITURE,EventID,,,,,
32485476,CAL:BOND FORFEITURE,EventID,,,,,
32485764,CAL:BOND FORFEITURE,EventID,,,,,
32485886,CAL:BOND FORFEITURE,EventID,,,,,
32486123,CAL:BOND FORFEITURE,EventID,,,,,
32486233,CAL:BOND FORFEITURE,EventID,,,,,
32486449,CAL:BOND FORFEITURE,EventID,,,,,
32486890,CAL:BOND FORFEITURE,EventID,,,,,
32486935,CAL:BOND FORFEITURE,EventID,,,,,
32487145,CAL:BOND FORFEITURE,EventID,,,,,
33708800,CAL:BOND FORFEITURE,EventID,,,,,
33728088,CAL:BOND FORFEITURE,EventID,,,,,
33732158,CAL:BOND FORFEITURE,EventID,,,,,
33787511,CAL:BOND FORFEITURE,EventID,,,,,
33801020,CAL:BOND FORFEITURE,EventID,,,,,
33812508,CAL:BOND FORFEITURE,EventID,,,,,
33812511,CAL:BOND FORFEITURE,EventID,,,,,
33813525,CAL:BOND FORFEITURE,EventID,,,,,
33814062,CAL:BOND FORFEITURE,EventID,,,,,
33820766,CAL:BOND FORFEITURE (PROB),EventID,,,,,
33843483,CAL:BOND FORFEITURE,EventID,,,,,
33884323,CAL:BOND FORFEITURE,EventID,,,,,
33909995,CAL:BOND FORFEITURE,EventID,,,,,
33930659,CAL:BOND FORFEITURE,EventID,,,,,
33931562,CAL:BOND FORFEITURE,EventID,,,,,
33952974,CAL:BOND FORFEITURE,EventID,,,,,
33955352,CAL:BOND FORFEITURE,EventID,,,,,
33956778,CAL:BOND FORFEITURE,EventID,,,,,
33970813,CAL:BOND FORFEITURE,EventID,,,,,
33992110,CAL:BOND FORFEITURE,EventID,,,,,
34009503,CAL:BOND FORFEITURE,EventID,,,,,
34023019,CAL:BOND FORFEITURE,EventID,,,,,
34051702,CAL:BOND FORFEITURE,EventID,,,,,
34118402,CAL:BOND FORFEITURE,EventID,,,,,
34168150,CAL:BOND FORFEITURE,EventID,,,,,
34184719,CAL:BOND FORFEITURE,EventID,,,,,
34275670,CAL:BOND FORFEITURE,EventID,,,,,
34289345,CAL:BOND FORFEITURE,EventID,,,,,
34345956,CAL:BOND FORFEITURE,EventID,,,,,
34345960,CAL:BOND FORFEITURE,EventID,,,,,
34346180,CAL:BOND FORFEITURE,EventID,,,,,
34347069,CAL:BOND FORFEITURE,EventID,,,,,
34382402,CAL:BOND FORFEITURE,EventID,,,,,
34386603,CAL:BOND FORFEITURE,EventID,,,,,
34443875,CAL:BOND FORFEITURE,EventID,,,,,
34451850,CAL:BOND FORFEITURE,EventID,,,,,
34475459,CAL:BOND FORFEITURE,EventID,,,,,
34524946,CAL:BOND FORFEITURE,EventID,,,,,
34620506,CAL:BOND FORFEITURE (PROB),EventID,,,,,
34625959,CAL:BOND FORFEITURE,EventID,,,,,
34626204,CAL:BOND FORFEITURE,EventID,,,,,
34627880,CAL:BOND FORFEITURE,EventID,,,,,
34633608,CAL:BOND FORFEITURE,EventID,,,,,
34743395,CAL:BOND FORFEITURE,EventID,,,,,
34777230,CAL:BOND FORFEITURE,EventID,,,,,
34777236,CAL:BOND FORFEITURE,EventID,,,,,
34787388,CAL:BOND FORFEITURE,EventID,,,,,
34813802,CAL:BOND FORFEITURE,EventID,,,,,
34815903,CAL:BOND FORFEITURE,EventID,,,,,
34819153,CAL:BOND FORFEITURE,EventID,,,,,
34828206,CAL:BOND FORFEITURE (PROB),EventID,,,,,
34858895,CAL:BOND FORFEITURE,EventID,,,,,
34862482,CAL:BOND FORFEITURE,EventID,,,,,
34930387,CAL:BOND FORFEITURE,EventID,,,,,
34930397,CAL:BOND FORFEITURE,EventID,,,,,
34950423,CAL:BOND FORFEITURE,EventID,,,,,
35005060,CAL:BOND FORFEITURE,EventID,,,,,
35015703,CAL:BOND FORFEITURE,EventID,,,,,
35042268,CAL:BOND FORFEITURE,EventID,,,,,
35043722,CAL:BOND FORFEITURE,EventID,,,,,
35071980,CAL:BOND FORFEITURE,EventID,,,,,
35088732,CAL:BOND FORFEITURE,EventID,,,,,
35088734,CAL:BOND FORFEITURE (PROB),EventID,,,,,
35104703,CAL:BOND FORFEITURE (PROB),EventID,,,,,
35129566,CAL:BOND FORFEITURE,EventID,,,,,
35146154,CAL:BOND FORFEITURE,EventID,,,,,
35152798,CAL:BOND FORFEITURE,EventID,,,,,
35157915,CAL:BOND FORFEITURE,EventID,,,,,
35194011,CAL:BOND FORFEITURE,EventID,,,,,
35197004,CAL:BOND FORFEITURE,EventID,,,,,
35212936,CAL:BOND FORFEITURE,EventID,,,,,
35233688,CAL:BOND FORFEITURE,EventID,,,,,
35234020,CAL:BOND FORFEITURE,EventID,,,,,
35234021,CAL:BOND FORFEITURE,EventID,,,,,
35241269,CAL:BOND FORFEITURE,EventID,,,,,
35302016,CAL:BOND FORFEITURE,EventID,,,,,
35308558,CAL:BOND FORFEITURE,EventID,,,,,
35315866,CAL:BOND FORFEITURE,EventID,,,,,
35334467,CAL:BOND FORFEITURE,EventID,,,,,
35370917,CAL:BOND FORFEITURE (PROB),EventID,,,,,
35378575,CAL:BOND FORFEITURE,EventID,,,,,
35393048,CAL:BOND FORFEITURE,EventID,,,,,
35403520,CAL:BOND FORFEITURE,EventID,,,,,
35406389,CAL:BOND FORFEITURE,EventID,,,,,
35423329,CAL:BOND FORFEITURE,EventID,,,,,
35434556,CAL:BOND FORFEITURE,EventID,,,,,
35434814,CAL:BOND FORFEITURE,EventID,,,,,
35434820,CAL:BOND FORFEITURE,EventID,,,,,
35472990,CAL:BOND FORFEITURE,EventID,,,,,
35473823,CAL:BOND FORFEITURE,EventID,,,,,
35479194,CAL:BOND FORFEITURE,EventID,,,,,
35509248,CAL:BOND FORFEITURE,EventID,,,,,
35533437,CAL:BOND FORFEITURE,EventID,,,,,
35533439,CAL:BOND FORFEITURE,EventID,,,,,
35538618,CAL:BOND FORFEITURE,EventID,,,,,
35540814,CAL:BOND FORFEITURE,EventID,,,,,
35548279,CAL:BOND FORFEITURE (PROB),EventID,,,,,
35548627,CAL:BOND FORFEITURE,EventID,,,,,
35551559,CAL:BOND FORFEITURE,EventID,,,,,
35569575,CAL:BOND FORFEITURE,EventID,,,,,
35571953,CAL:BOND FORFEITURE,EventID,,,,,
35614668,CAL:BOND FORFEITURE,EventID,,,,,
35630389,CAL:BOND FORFEITURE,EventID,,,,,
35630653,CAL:BOND FORFEITURE,EventID,,,,,
35640622,CAL:BOND FORFEITURE,EventID,,,,,
35640955,CAL:BOND FORFEITURE,EventID,,,,,
35656305,CAL:BOND FORFEITURE,EventID,,,,,
35669232,CAL:BOND FORFEITURE,EventID,,,,,
35763436,CAL:BOND FORFEITURE,EventID,,,,,
35773261,CAL:BOND FORFEITURE,EventID,,,,,
35816829,CAL:BOND FORFEITURE,EventID,,,,,
35822917,CAL:BOND FORFEITURE,EventID,,,,,
35822921,CAL:BOND FORFEITURE,EventID,,,,,
35825009,CAL:BOND FORFEITURE,EventID,,,,,
35827561,CAL:BOND FORFEITURE,EventID,,,,,
35831850,CAL:BOND FORFEITURE,EventID,,,,,
35839515,CAL:BOND FORFEITURE,EventID,,,,,
35839519,CAL:BOND FORFEITURE,EventID,,,,,
35958322,CAL:BOND FORFEITURE,EventID,,,,,
35963497,CAL:BOND FORFEITURE,EventID,,,,,
35971324,CAL:BOND FORFEITURE,EventID,,,,,
35992330,CAL:BOND FORFEITURE,EventID,,,,,
36039261,CAL:BOND FORFEITURE,EventID,,,,,
36074510,CAL:BOND FORFEITURE,EventID,,,,,
36074780,CAL:BOND FORFEITURE,EventID,,,,,
36092547,CAL:BOND FORFEITURE,EventID,,,,,
36131475,CAL:BOND FORFEITURE,EventID,,,,,
36148884,CAL:BOND FORFEITURE,EventID,,,,,
36185953,CAL:BOND FORFEITURE,EventID,,,,,
36191998,CAL:BOND FORFEITURE,EventID,,,,,
36192583,CAL:BOND FORFEITURE,EventID,,,,,
36203745,CAL:BOND FORFEITURE,EventID,,,,,
36208488,CAL:BOND FORFEITURE,EventID,,,,,
36208491,CAL:BOND FORFEITURE,EventID,,,,,
36221524,CAL:BOND FORFEITURE,EventID,,,,,
36239041,CAL:BOND FORFEITURE,EventID,,,,,
36251926,CAL:BOND FORFEITURE,EventID,,,,,
36287955,CAL:BOND FORFEITURE,EventID,,,,,
36303075,CAL:BOND FORFEITURE,EventID,,,,,
36306994,CAL:BOND FORFEITURE,EventID,,,,,
36336544,CAL:BOND FORFEITURE,EventID,,,,,
36340925,CAL:BOND FORFEITURE,EventID,,,,,
36354502,CAL:BOND FORFEITURE,EventID,,,,,
36358819,CAL:BOND FORFEITURE,EventID,,,,,
36360138,CAL:BOND FORFEITURE,EventID,,,,,
