race,count,mean,median,std,min,max,high_risk_rate,reference_group,mean_score_difference_from_reference,high_risk_rate_difference_from_reference,high_risk_rate_ratio_to_reference,protected_attribute,sex,age_group
A,1095,1.873,2.0,1.426,0,8,0.0046,W,-0.539,-0.0051,0.474,race,,
B,19837,3.053,3.0,1.547,0,9,0.0154,W,0.641,0.0057,1.588,race,,
I,32,2.312,2.0,1.655,0,6,0.0,W,-0.1,-0.0097,0.0,race,,
U,65,1.954,2.0,1.419,0,6,0.0,W,-0.458,-0.0097,0.0,race,,
W,64430,2.412,2.0,1.547,0,9,0.0097,W,0.0,0.0,1.0,race,,
,22529,2.458,2.0,1.569,0,9,0.0111,F,0.0,0.0,1.0,sex,F,
,62930,2.587,2.0,1.57,0,9,0.0109,F,0.129,-0.0002,0.982,sex,M,
,27611,2.732,3.0,1.43,0,9,0.007,18-25,0.0,0.0,1.0,age_group,,18-25
,30504,2.603,2.0,1.548,0,9,0.0136,18-25,-0.129,0.0066,1.943,age_group,,26-35
,19864,2.368,2.0,1.701,0,9,0.0133,18-25,-0.364,0.0063,1.9,age_group,,36-50
,7480,2.181,2.0,1.684,0,7,0.0084,18-25,-0.551,0.0014,1.2,age_group,,50+
