race,count,mean,median,std,min,max,protected_attribute,sex,age_group
A,1113,1.879,2.0,1.424,0.0,8.0,race,,
B,20144,3.053,3.0,1.549,0.0,9.0,race,,
I,35,2.371,2.0,1.716,0.0,6.0,race,,
U,65,1.954,2.0,1.419,0.0,6.0,race,,
W,65492,2.412,2.0,1.548,0.0,9.0,race,,
,22903,2.458,2.0,1.571,0.0,9.0,sex,F,
,63946,2.588,2.0,1.572,0.0,9.0,sex,M,
,28262,2.731,3.0,1.432,0.0,9.0,age_group,,18-25
,30899,2.602,2.0,1.548,0.0,9.0,age_group,,26-35
,20111,2.372,2.0,1.705,0.0,9.0,age_group,,36-50
,7577,2.178,2.0,1.686,0.0,7.0,age_group,,50+
