feature,group_a,group_b,kl_divergence
attorney_recommendation,B,U,17.0557
attorney_recommendation,A,U,15.6471
attorney_bond,A,I,15.5648
attorney_recommendation,W,U,14.2005
attorney_bond,W,I,13.9304
attorney_bond,B,I,13.7956
attorney_bond,I,U,12.3478
attorney_bond,B,U,9.7261
attorney_bond,A,U,7.4645
attorney_bond,W,U,6.9296
tcud_score_max,B,U,4.0591
tcud_score,B,I,3.9393
tcud_score,B,U,3.8025
tcud_score_max,B,I,3.6364
tcud_score,W,I,3.5095
tcud_score_max,W,U,3.4574
tcud_score_max,W,I,3.3973
tcud_score,W,U,3.3824
attorney_recommendation,B,A,2.9457
tcud_score_max,A,U,2.7188
tcud_score,A,I,2.5212
tcud_score,A,U,2.5003
tcud_score_max,A,I,2.3958
tcud_score,I,U,1.8366
attorney_recommendation,W,A,1.1726
tcud_score_max,I,U,0.9218
bond_amount,A,I,0.6151
unique_pretrial_charges,I,U,0.591
bond_amount,A,U,0.5886
unique_pretrial_charges,B,U,0.5469
pretrial_charge_rows,B,U,0.4794
unique_pretrial_charges,W,U,0.3781
pretrial_charge_rows,B,I,0.3515
attorney_bond,B,A,0.3466
pretrial_charge_rows,W,U,0.2691
pretrial_charge_rows,W,I,0.2575
bond_amount,B,I,0.2327
attorney_recommendation,W,B,0.2062
pretrial_charge_rows,A,I,0.1773
bond_amount,I,U,0.1698
attorney_bond,W,B,0.1619
unique_pretrial_charges,B,A,0.1508
pretrial_charge_rows,A,U,0.1496
pretrial_charge_rows,B,A,0.1451
unique_pretrial_charges,B,I,0.1384
unique_pretrial_charges,A,U,0.1322
tcud_score_max,B,A,0.1136
unique_pretrial_charges,W,I,0.0965
unique_pretrial_charges,W,A,0.0919
pretrial_charge_rows,I,U,0.0859
attorney_bond,W,A,0.0785
tcud_score_max,W,A,0.0785
tcud_score,B,A,0.0758
unique_pretrial_charges,A,I,0.0684
tcud_score,W,A,0.0656
bond_amount,B,U,0.0612
pretrial_charge_rows,W,A,0.0529
bond_amount,W,U,0.044
bond_amount,W,I,0.0416
unique_pretrial_charges,W,B,0.0075
tcud_score_max,W,B,0.0072
pretrial_charge_rows,W,B,0.007
bond_amount,B,A,0.0065
tcud_score,W,B,0.0053
bond_amount,W,A,0.0019
bond_amount,W,B,0.0004
attorney_recommendation,W,I,
attorney_recommendation,B,I,
attorney_recommendation,A,I,
attorney_recommendation,I,U,
