race,count,outcome_count,outcome_rate,outcome,reference_group,rate_difference_from_reference,rate_ratio_to_reference,protected_attribute,sex,age_group
A,1095,981,0.8959,has_case_record,W,-0.0095,0.99,race,,
B,19837,18200,0.9175,has_case_record,W,0.0121,1.013,race,,
I,32,28,0.875,has_case_record,W,-0.0304,0.966,race,,
U,65,60,0.9231,has_case_record,W,0.0177,1.02,race,,
W,64430,58332,0.9054,has_case_record,W,0.0,1.0,race,,
A,1095,696,0.6356,has_disposition,W,-0.0608,0.913,race,,
B,19837,14649,0.7385,has_disposition,W,0.0421,1.06,race,,
I,32,20,0.625,has_disposition,W,-0.0714,0.897,race,,
U,65,45,0.6923,has_disposition,W,-0.0041,0.994,race,,
W,64430,44866,0.6964,has_disposition,W,0.0,1.0,race,,
A,1095,301,0.2749,has_plea,W,-0.1219,0.693,race,,
B,19837,8792,0.4432,has_plea,W,0.0464,1.117,race,,
I,32,14,0.4375,has_plea,W,0.0407,1.103,race,,
U,65,18,0.2769,has_plea,W,-0.1199,0.698,race,,
W,64430,25567,0.3968,has_plea,W,0.0,1.0,race,,
A,1095,638,0.5826,has_sentence,W,-0.0573,0.91,race,,
B,19837,13314,0.6712,has_sentence,W,0.0313,1.049,race,,
I,32,19,0.5938,has_sentence,W,-0.0461,0.928,race,,
U,65,45,0.6923,has_sentence,W,0.0524,1.082,race,,
W,64430,41229,0.6399,has_sentence,W,0.0,1.0,race,,
A,1095,45,0.0411,has_verdict,W,-0.0548,0.429,race,,
B,19837,2999,0.1512,has_verdict,W,0.0553,1.577,race,,
I,32,3,0.0938,has_verdict,W,-0.0021,0.978,race,,
U,65,2,0.0308,has_verdict,W,-0.0651,0.321,race,,
W,64430,6179,0.0959,has_verdict,W,0.0,1.0,race,,
,22529,20312,0.9016,has_case_record,F,0.0,1.0,gender,F,
,62930,57289,0.9104,has_case_record,F,0.0088,1.01,gender,M,
,22529,15412,0.6841,has_disposition,F,0.0,1.0,gender,F,
,62930,44864,0.7129,has_disposition,F,0.0288,1.042,gender,M,
,22529,7630,0.3387,has_plea,F,0.0,1.0,gender,F,
,62930,27062,0.43,has_plea,F,0.0913,1.27,gender,M,
,22529,14042,0.6233,has_sentence,F,0.0,1.0,gender,F,
,62930,41203,0.6547,has_sentence,F,0.0314,1.05,gender,M,
,22529,1669,0.0741,has_verdict,F,0.0,1.0,gender,F,
,62930,7559,0.1201,has_verdict,F,0.046,1.621,gender,M,
,27611,25114,0.9096,has_case_record,18-25,0.0,1.0,age,,18-25
,30504,27649,0.9064,has_case_record,18-25,-0.0032,0.996,age,,26-35
,19864,18026,0.9075,has_case_record,18-25,-0.0021,0.998,age,,36-50
,7480,6812,0.9107,has_case_record,18-25,0.0011,1.001,age,,50+
,27611,19164,0.6941,has_disposition,18-25,0.0,1.0,age,,18-25
,30504,21372,0.7006,has_disposition,18-25,0.0065,1.009,age,,26-35
,19864,14173,0.7135,has_disposition,18-25,0.0194,1.028,age,,36-50
,7480,5567,0.7443,has_disposition,18-25,0.0502,1.072,age,,50+
,27611,9776,0.3541,has_plea,18-25,0.0,1.0,age,,18-25
,30504,12843,0.421,has_plea,18-25,0.0669,1.189,age,,26-35
,19864,8728,0.4394,has_plea,18-25,0.0853,1.241,age,,36-50
,7480,3345,0.4472,has_plea,18-25,0.0931,1.263,age,,50+
,27611,17626,0.6384,has_sentence,18-25,0.0,1.0,age,,18-25
,30504,19707,0.646,has_sentence,18-25,0.0076,1.012,age,,26-35
,19864,12889,0.6489,has_sentence,18-25,0.0105,1.016,age,,36-50
,7480,5023,0.6715,has_sentence,18-25,0.0331,1.052,age,,50+
,27611,1989,0.072,has_verdict,18-25,0.0,1.0,age,,18-25
,30504,3295,0.108,has_verdict,18-25,0.036,1.5,age,,26-35
,19864,2816,0.1418,has_verdict,18-25,0.0698,1.969,age,,36-50
,7480,1128,0.1508,has_verdict,18-25,0.0788,2.094,age,,50+
