race,count,outcome_count,outcome_rate,outcome,protected_attribute,sex,age_group
A,1095,981,0.8959,has_case_record,race,,
B,19837,18200,0.9175,has_case_record,race,,
I,32,28,0.875,has_case_record,race,,
U,65,60,0.9231,has_case_record,race,,
W,64430,58332,0.9054,has_case_record,race,,
A,1095,696,0.6356,has_disposition,race,,
B,19837,14649,0.7385,has_disposition,race,,
I,32,20,0.625,has_disposition,race,,
U,65,45,0.6923,has_disposition,race,,
W,64430,44866,0.6964,has_disposition,race,,
A,1095,638,0.5826,has_sentence,race,,
B,19837,13314,0.6712,has_sentence,race,,
I,32,19,0.5938,has_sentence,race,,
U,65,45,0.6923,has_sentence,race,,
W,64430,41229,0.6399,has_sentence,race,,
A,1095,301,0.2749,has_plea,race,,
B,19837,8792,0.4432,has_plea,race,,
I,32,14,0.4375,has_plea,race,,
U,65,18,0.2769,has_plea,race,,
W,64430,25567,0.3968,has_plea,race,,
A,1095,45,0.0411,has_verdict,race,,
B,19837,2999,0.1512,has_verdict,race,,
I,32,3,0.0938,has_verdict,race,,
U,65,2,0.0308,has_verdict,race,,
W,64430,6179,0.0959,has_verdict,race,,
,22529,20312,0.9016,has_case_record,gender,F,
,62930,57289,0.9104,has_case_record,gender,M,
,22529,15412,0.6841,has_disposition,gender,F,
,62930,44864,0.7129,has_disposition,gender,M,
,22529,14042,0.6233,has_sentence,gender,F,
,62930,41203,0.6547,has_sentence,gender,M,
,22529,7630,0.3387,has_plea,gender,F,
,62930,27062,0.43,has_plea,gender,M,
,22529,1669,0.0741,has_verdict,gender,F,
,62930,7559,0.1201,has_verdict,gender,M,
,27611,25114,0.9096,has_case_record,age,,18-25
,30504,27649,0.9064,has_case_record,age,,26-35
,19864,18026,0.9075,has_case_record,age,,36-50
,7480,6812,0.9107,has_case_record,age,,50+
,27611,19164,0.6941,has_disposition,age,,18-25
,30504,21372,0.7006,has_disposition,age,,26-35
,19864,14173,0.7135,has_disposition,age,,36-50
,7480,5567,0.7443,has_disposition,age,,50+
,27611,17626,0.6384,has_sentence,age,,18-25
,30504,19707,0.646,has_sentence,age,,26-35
,19864,12889,0.6489,has_sentence,age,,36-50
,7480,5023,0.6715,has_sentence,age,,50+
,27611,9776,0.3541,has_plea,age,,18-25
,30504,12843,0.421,has_plea,age,,26-35
,19864,8728,0.4394,has_plea,age,,36-50
,7480,3345,0.4472,has_plea,age,,50+
,27611,1989,0.072,has_verdict,age,,18-25
,30504,3295,0.108,has_verdict,age,,26-35
,19864,2816,0.1418,has_verdict,age,,36-50
,7480,1128,0.1508,has_verdict,age,,50+
