file,sheet,n_rows_sample_or_full,n_columns,columns,target_code_columns_present,keyword_columns,is_lookup_like
PreTrial Disposition Reason.xlsx,Sheet1,5000,8,"['PA_MAST_NO', 'PA_BKG_NO', 'BJ_BK_DATE', 'PK_SEQ_NO', 'PL_MOT_RSN1', 'PL_BND_CASE', 'PL_BND_DISP', 'PL_DISP_RSN']",[],[],False
PreTrial Disposition Reason.xlsx,Sheet2,0,0,[],[],[],False
PreTrial Disposition Reason.xlsx,Sheet3,0,0,[],[],[],False
PreTrial TCUD-ODAR Events.xlsx,Sheet1,5000,6,"['PA_MAST_NO', 'PA_BKG_NO', 'BJ_BK_DATE', 'PI_EVENT', 'PI_EVT_DISP', 'PI_SCORE']",[],['PI_EVENT'],False
PreTrial TCUD-ODAR Events.xlsx,Sheet2,0,0,[],[],[],False
PreTrial TCUD-ODAR Events.xlsx,Sheet3,0,0,[],[],[],False
PreTrial to Booking Info.xlsx,Booking,5000,11,"['PA_MAST_NO', 'BH_BKG_NO', 'BJ_BK_DATE', 'BH_WAR_NO', 'BH_C_CASE', 'BH_BAIL_AMT', 'BH_CHG_DATE', 'BH_JCHG_NO', 'BH_CRT_DATE', 'BH_CRT_TIME', 'BH_CRT_EVT']",[],[],False
revocationV2.xlsx,revocation,5000,81,"['CaseID', 'DivisionID', 'CourtTypeID', 'CaseTypeID', 'CaseStatusID', 'StatusDate', 'CaseStateID', 'SealedFlag', 'RestrictedFlag', 'CaseInitiationDate', 'DateCaseEntered', 'ReindictRefile', 'CaseStateIssue', 'LatestCasePhaseID', 'LatestAgeofPendingComplaint', 'CriminalDefendantID', 'PartyID', 'PersonID', 'MNI', 'OriginalBookingNumber', 'BookingDate', 'IndictFilingDate', 'CalendarDaysBookingtoIndictFiling', 'JailCaseTypeID', 'HighestLevelChargeCount', 'HighestLevelDispositionCount', 'CaseChargeID', 'CountNumber', 'ChargeCode', 'CsMgmtChargeID', 'CurrentChargeStateID', 'ChargeReducedEnhanced', 'OriginalDispositionPleaID', 'OriginalDispositionPleaDate', 'OriginalDispositionTrialTypeID', 'OriginalDispositionVerdictID', 'OriginalDispositionVerdictDate', 'OriginalDispositionMethodID', 'OriginalDispositionID', 'OriginalDispositionDate', 'OriginalDispositionEvent', 'OriginalSentenceID', 'LatestDispositionMethodID', 'LatestDispositionID', 'LatestDispositionDate', 'LatestSentenceID', 'EarliestKnownChargeID', 'OffenseDate', 'CriminalDefendantHistoryID', 'ActivationDate', 'ActivationEventID', 'ActivationTypeID', 'AssociatedBookingNumber', 'AssociatedBookingDate', 'InactivityDays', 'CalendarDaysFilingtoCurrent', 'AgeofCase', 'DispositionID', 'DispositionDate', 'DispositionEventID', 'DispositionTypeID', 'CalendarDaysFilingtoDisposition', 'TimetoDisposition', 'casephaseID', 'CasePhaseCode', 'UnabletoCalcAgeInactivity', 'DispositionMethodID', 'PartyAttorneyID', 'PartyIDRepresenting', 'attorneyID', 'AttorneySBN', 'AttorneyCounselTypeID', 'AttorneyCaseStatusID', 'AttorneyStatusDateTime', 'CurrentAttorneyFlag', 'AttorneyStartDate', 'AttorneyEndDate', 'CurrentLeadAttorneyFlag', 'AssignedCourtID', 'OriginalDispositionCourtID', 'LatestDispositonCourtID']","['DispositionID', 'DispositionTypeID', 'DispositionMethodID', 'DispositionEventID', 'OriginalDispositionID', 'OriginalDispositionEvent', 'OriginalDispositionMethodID', 'OriginalDispositionPleaID', 'OriginalDispositionVerdictID', 'OriginalSentenceID', 'LatestDispositionID', 'LatestDispositionMethodID', 'LatestSentenceID', 'JailCaseTypeID']","['CaseID', 'DivisionID', 'CourtTypeID', 'CaseTypeID', 'CaseStatusID', 'StatusDate', 'CaseStateID', 'LatestCasePhaseID', 'CriminalDefendantID', 'PartyID', 'PersonID', 'JailCaseTypeID', 'HighestLevelChargeCount', 'HighestLevelDispositionCount', 'CaseChargeID', 'ChargeCode', 'CsMgmtChargeID', 'CurrentChargeStateID', 'ChargeReducedEnhanced', 'OriginalDispositionPleaID', 'OriginalDispositionPleaDate', 'OriginalDispositionTrialTypeID', 'OriginalDispositionVerdictID', 'OriginalDispositionVerdictDate', 'OriginalDispositionMethodID', 'OriginalDispositionID', 'OriginalDispositionDate', 'OriginalDispositionEvent', 'OriginalSentenceID', 'LatestDispositionMethodID', 'LatestDispositionID', 'LatestDispositionDate', 'LatestSentenceID', 'EarliestKnownChargeID', 'CriminalDefendantHistoryID', 'ActivationEventID', 'ActivationTypeID', 'DispositionID', 'DispositionDate', 'DispositionEventID', 'DispositionTypeID', 'CalendarDaysFilingtoDisposition', 'TimetoDisposition', 'casephaseID', 'CasePhaseCode', 'DispositionMethodID', 'PartyAttorneyID', 'PartyIDRepresenting', 'attorneyID', 'AttorneyCounselTypeID', 'AttorneyCaseStatusID', 'AttorneyStatusDateTime', 'AssignedCourtID', 'OriginalDispositionCourtID', 'LatestDispositonCourtID']",True
SentencingDataPost2013.xlsx,SentencingDataPost2013,5000,14,"['CriminalSentencingID', 'CaseID', 'PartyID', 'CountNumber', 'Sequence', 'SentenceTypeID', 'ReceivableTypeID', 'AgencyID', 'SentenceUOMID', 'SentenceQuantity', 'SentenceOther', 'SentenceEffectiveDt', 'SentenceConcurrencyFlag', 'DivisionID']","['SentenceTypeID', 'SentenceUOMID']","['CriminalSentencingID', 'CaseID', 'PartyID', 'SentenceTypeID', 'ReceivableTypeID', 'AgencyID', 'SentenceUOMID', 'SentenceQuantity', 'SentenceOther', 'SentenceEffectiveDt', 'SentenceConcurrencyFlag', 'DivisionID']",True
SentencingDataPre2013.xlsx,SentencingDataPre2013,5000,14,"['CriminalSentencingID', 'CaseID', 'PartyID', 'CountNumber', 'Sequence', 'SentenceTypeID', 'ReceivableTypeID', 'AgencyID', 'SentenceUOMID', 'SentenceQuantity', 'SentenceOther', 'SentenceEffectiveDt', 'SentenceConcurrencyFlag', 'DivisionID']","['SentenceTypeID', 'SentenceUOMID']","['CriminalSentencingID', 'CaseID', 'PartyID', 'SentenceTypeID', 'ReceivableTypeID', 'AgencyID', 'SentenceUOMID', 'SentenceQuantity', 'SentenceOther', 'SentenceEffectiveDt', 'SentenceConcurrencyFlag', 'DivisionID']",True
