Outcome,Protected Attribute,Test,Statistic,P-value,Effect Size,Degrees Freedom
risk_score,race,Kruskal-Wallis,2980.1466045083616,0.0,0.034827469802564674,
risk_score,age_group,Kruskal-Wallis,1320.1577614205257,6.222516594745658e-286,0.015413466285419527,
risk_score,sex,Mann-Whitney U,741317110.0,2.0762526467216155e-25,-0.04576565076562833,
has_case_record,race,Chi-square,29.254920483866925,6.938460741476338e-06,0.018502080138978513,4.0
has_case_record,sex,Chi-square,15.167377524105667,9.838860618016362e-05,0.013322212142184285,1.0
has_case_record,age_group,Chi-square,2.4534206865903903,0.4837678500054755,0.005358054269733218,3.0
has_disposition,race,Chi-square,156.44484898671283,8.458255711904077e-33,0.04278600434059783,4.0
has_disposition,sex,Chi-square,66.17243133178151,4.1315097230267906e-16,0.027826567801479046,1.0
has_disposition,age_group,Chi-square,80.98257060419466,1.8891259285010937e-17,0.030783420574248658,3.0
has_sentence,race,Chi-square,85.60816057365345,1.1270383516639852e-17,0.03165036184770698,4.0
has_sentence,sex,Chi-square,71.69370019065786,2.5133369859293674e-17,0.028964203783571764,1.0
has_sentence,age_group,Chi-square,28.993240597246363,2.2467649491410463e-06,0.01841914541034956,3.0
has_plea,race,Chi-square,219.11062359282914,2.912810539682475e-46,0.05063523316177091,4.0
has_plea,sex,Chi-square,573.7999974753022,8.369892420791931e-127,0.0819410203693381,1.0
has_plea,age_group,Chi-square,481.874190642732,4.0425405311831585e-104,0.07509100721550856,3.0
has_verdict,race,Chi-square,536.8973886315415,6.993417693539364e-115,0.07926231317020928,4.0
has_verdict,sex,Chi-square,364.52834636358165,2.907812653794046e-81,0.06531106255703883,1.0
has_verdict,age_group,Chi-square,748.1183247650238,7.721015708504951e-162,0.0935634533837332,3.0
