file,sheet,column,value,count
revocationV2.xlsx,revocation,DispositionID,12.0,3331
revocationV2.xlsx,revocation,DispositionID,,2333
revocationV2.xlsx,revocation,DispositionID,13.0,2270
revocationV2.xlsx,revocation,DispositionID,102.0,1751
revocationV2.xlsx,revocation,DispositionID,76.0,1380
revocationV2.xlsx,revocation,DispositionID,6.0,1350
revocationV2.xlsx,revocation,DispositionID,113.0,1174
revocationV2.xlsx,revocation,DispositionID,137.0,985
revocationV2.xlsx,revocation,DispositionID,89.0,832
revocationV2.xlsx,revocation,DispositionID,4.0,767
revocationV2.xlsx,revocation,DispositionID,75.0,676
revocationV2.xlsx,revocation,DispositionID,74.0,581
revocationV2.xlsx,revocation,DispositionID,5.0,542
revocationV2.xlsx,revocation,DispositionID,114.0,402
revocationV2.xlsx,revocation,DispositionID,90.0,194
revocationV2.xlsx,revocation,DispositionID,21.0,128
revocationV2.xlsx,revocation,DispositionID,22.0,94
revocationV2.xlsx,revocation,DispositionID,71.0,87
revocationV2.xlsx,revocation,DispositionID,7.0,67
revocationV2.xlsx,revocation,DispositionID,23.0,61
revocationV2.xlsx,revocation,DispositionID,79.0,48
revocationV2.xlsx,revocation,DispositionID,145.0,30
revocationV2.xlsx,revocation,DispositionID,138.0,24
revocationV2.xlsx,revocation,DispositionID,73.0,20
revocationV2.xlsx,revocation,DispositionID,99.0,18
revocationV2.xlsx,revocation,DispositionID,171.0,15
revocationV2.xlsx,revocation,DispositionID,81.0,13
revocationV2.xlsx,revocation,DispositionID,165.0,11
revocationV2.xlsx,revocation,DispositionID,78.0,10
revocationV2.xlsx,revocation,DispositionID,146.0,10
revocationV2.xlsx,revocation,DispositionTypeID,6.0,8753
revocationV2.xlsx,revocation,DispositionTypeID,5.0,8136
revocationV2.xlsx,revocation,DispositionTypeID,,2242
revocationV2.xlsx,revocation,DispositionTypeID,1.0,111
revocationV2.xlsx,revocation,DispositionTypeID,2.0,7
revocationV2.xlsx,revocation,DispositionTypeID,4.0,6
revocationV2.xlsx,revocation,DispositionTypeID,7.0,2
revocationV2.xlsx,revocation,DispositionTypeID,3.0,1
