race,high_risk_rate,threshold,protected_attribute,sex,age_group
A,0.1297,4,race,,
B,0.3766,4,race,,
I,0.1875,4,race,,
U,0.1538,4,race,,
W,0.2312,4,race,,
A,0.0539,5,race,,
B,0.1853,5,race,,
I,0.125,5,race,,
U,0.0462,5,race,,
W,0.1093,5,race,,
A,0.0174,6,race,,
B,0.0637,6,race,,
I,0.0625,6,race,,
U,0.0154,6,race,,
W,0.0396,6,race,,
A,0.0046,7,race,,
B,0.0154,7,race,,
I,0.0,7,race,,
U,0.0,7,race,,
W,0.0097,7,race,,
,0.2428,4,sex,F,
,0.271,4,sex,M,
,0.1105,5,sex,F,
,0.1318,5,sex,M,
,0.0407,6,sex,F,
,0.0464,6,sex,M,
,0.0111,7,sex,F,
,0.0109,7,sex,M,
,0.2867,4,age_group,,18-25
,0.2632,4,age_group,,26-35
,0.2474,4,age_group,,36-50
,0.2229,4,age_group,,50+
,0.1239,5,age_group,,18-25
,0.131,5,age_group,,26-35
,0.1284,5,age_group,,36-50
,0.1095,5,age_group,,50+
,0.0373,6,age_group,,18-25
,0.0514,6,age_group,,26-35
,0.0486,6,age_group,,36-50
,0.0368,6,age_group,,50+
,0.007,7,age_group,,18-25
,0.0136,7,age_group,,26-35
,0.0133,7,age_group,,36-50
,0.0084,7,age_group,,50+
