dataset,column,value,count
booking_2010_2012,bookingID,788589,35
booking_2010_2012,bookingID,903,31
booking_2010_2012,bookingID,90610,31
booking_2010_2012,bookingID,296748,27
booking_2010_2012,bookingID,786207,27
booking_2010_2012,bookingID,236032,26
booking_2010_2012,bookingID,822889,24
booking_2010_2012,bookingID,688213,24
booking_2010_2012,bookingID,25386,23
booking_2010_2012,bookingID,714845,22
booking_2010_2012,jailID,P00066209,117
booking_2010_2012,jailID,P00021017,89
booking_2010_2012,jailID,P00065716,86
booking_2010_2012,jailID,P00242480,83
booking_2010_2012,jailID,P00002630,80
booking_2010_2012,jailID,P00172846,78
booking_2010_2012,jailID,P00221277,76
booking_2010_2012,jailID,P00279019,71
booking_2010_2012,jailID,P00039794,70
booking_2010_2012,jailID,P00209238,66
booking_2010_2012,bookingdate,7/28/2010,391
booking_2010_2012,bookingdate,1/19/2011,387
booking_2010_2012,bookingdate,9/2/2010,384
booking_2010_2012,bookingdate,2/13/2010,379
booking_2010_2012,bookingdate,1/22/2010,378
booking_2010_2012,bookingdate,5/21/2010,376
booking_2010_2012,bookingdate,7/24/2010,373
booking_2010_2012,bookingdate,8/4/2010,372
booking_2010_2012,bookingdate,4/30/2010,368
booking_2010_2012,bookingdate,8/28/2010,365
booking_2010_2012,bookingtime,0:01,476
booking_2010_2012,bookingtime,23:45,384
booking_2010_2012,bookingtime,12:00,379
booking_2010_2012,bookingtime,23:59,376
booking_2010_2012,bookingtime,0:40,376
booking_2010_2012,bookingtime,1:35,373
booking_2010_2012,bookingtime,23:40,370
booking_2010_2012,bookingtime,0:15,365
booking_2010_2012,bookingtime,1:11,356
booking_2010_2012,bookingtime,0:18,352
booking_2010_2012,ReleaseDate,5/6/2011,537
booking_2010_2012,ReleaseDate,12/22/2010,513
booking_2010_2012,ReleaseDate,8/19/2011,507
booking_2010_2012,ReleaseDate,2/18/2011,502
booking_2010_2012,ReleaseDate,7/8/2011,484
booking_2010_2012,ReleaseDate,10/28/2011,479
booking_2010_2012,ReleaseDate,8/26/2011,475
booking_2010_2012,ReleaseDate,10/8/2010,470
booking_2010_2012,ReleaseDate,7/29/2011,470
booking_2010_2012,ReleaseDate,1/21/2011,465
booking_2010_2012,ReleaseTime,8:04,591
booking_2010_2012,ReleaseTime,8:06,579
booking_2010_2012,ReleaseTime,8:01,544
booking_2010_2012,ReleaseTime,8:09,539
booking_2010_2012,ReleaseTime,7:57,539
booking_2010_2012,ReleaseTime,8:10,530
booking_2010_2012,ReleaseTime,8:03,523
booking_2010_2012,ReleaseTime,8:07,519
booking_2010_2012,ReleaseTime,8:05,519
booking_2010_2012,ReleaseTime,7:54,518
booking_2010_2012,HighestBookingCharge,54040009,19360
booking_2010_2012,HighestBookingCharge,2300,18266
booking_2010_2012,HighestBookingCharge,4200,17525
