dataset,column,dtype
booking_2010_2012,bookingID,str
booking_2010_2012,BookingNumber,float64
booking_2010_2012,mni,float64
booking_2010_2012,PersonID,float64
booking_2010_2012,jailID,str
booking_2010_2012,CustodyStatusID,float64
booking_2010_2012,CustodyTypeID,float64
booking_2010_2012,bookingdate,str
booking_2010_2012,bookingtime,str
booking_2010_2012,ReleaseDate,str
booking_2010_2012,ReleaseTime,str
booking_2010_2012,ReleaseReasonID,float64
booking_2010_2012,HighestBookingCharge,str
booking_2010_2012,HighestBookingCount,float64
booking_2010_2012,ArrestDate,str
booking_2010_2012,ArrestTime,str
booking_2010_2012,ArrestingAgencyID,float64
booking_2010_2012,INSHold,float64
booking_2010_2012,FederalHold,float64
booking_2010_2012,StateHold,float64
booking_2010_2012,TDC_BWHold,float64
booking_2010_2012,OtherHold,float64
booking_2010_2012,ActiveWrit,float64
booking_2010_2012,AgeofBooking,float64
booking_2010_2012,TimeBookingtoRelease,float64
booking_2010_2012,BookingChargeID,float64
booking_2010_2012,ChargeCount,float64
booking_2010_2012,ChargeCode,str
booking_2010_2012,ChargeDescription,str
booking_2010_2012,ChargeClassID,float64
booking_2010_2012,chargedate,str
booking_2010_2012,chargetime,str
booking_2010_2012,ChargeDispositionTypeID,float64
booking_2010_2012,ChargeDispositionDate,str
booking_2010_2012,ChargeSentenceDate,str
booking_2010_2012,BookingAuthorityID,float64
booking_2010_2012,ChargeStatusID,float64
booking_2010_2012,OpenCharge,float64
booking_2010_2012,EligibleforBail,float64
booking_2010_2012,BailTypeID,float64
booking_2010_2012,BailAmount,float64
booking_2010_2012,MagistrationDate,str
booking_2010_2012,JailChargeCourt,str
booking_2013_2016,bookingID,str
booking_2013_2016,BookingNumber,float64
booking_2013_2016,mni,float64
booking_2013_2016,PersonID,float64
booking_2013_2016,jailID,str
booking_2013_2016,CustodyStatusID,float64
booking_2013_2016,CustodyTypeID,float64
booking_2013_2016,bookingdate,str
booking_2013_2016,bookingtime,str
booking_2013_2016,ReleaseDate,str
booking_2013_2016,ReleaseTime,str
booking_2013_2016,ReleaseReasonID,float64
