dataset,column,count,mean,std,min,25%,50%,75%,max
booking_2010_2012,BookingNumber,289059.0,1125919.8481659454,82165.57608930273,1000002.0,1044092.5,1126328.0,1211723.0,1350008.0
booking_2010_2012,mni,289059.0,1678819.4652752553,1951712.003751227,23.0,543429.5,1324282.0,1758381.0,8949098.0
booking_2010_2012,PersonID,289059.0,322860.98367807263,150415.53288753307,69724.0,213247.0,342057.0,407079.0,2945099.0
booking_2010_2012,CustodyStatusID,289059.0,1.999723239892202,0.01663383506083568,1.0,2.0,2.0,2.0,2.0
booking_2010_2012,CustodyTypeID,289059.0,1.00037016664418,0.023597555381942633,1.0,1.0,1.0,1.0,3.0
booking_2010_2012,ReleaseReasonID,288979.0,41.134490741541775,32.15402579946626,1.0,6.0,40.0,67.0,91.0
booking_2010_2012,HighestBookingCount,289059.0,1.365368315810959,0.9182208887316881,1.0,1.0,1.0,1.0,18.0
booking_2010_2012,ArrestingAgencyID,289059.0,42.61335921040341,34.748322624544244,18.0,22.0,22.0,71.0,113.0
booking_2010_2012,INSHold,289059.0,0.08594439197534068,0.2813173003436649,0.0,0.0,0.0,0.0,2.0
booking_2010_2012,FederalHold,289059.0,0.007718147506218453,0.09119162094303916,0.0,0.0,0.0,0.0,2.0
booking_2010_2012,StateHold,289059.0,0.03168211334018314,0.1804834520493582,0.0,0.0,0.0,0.0,4.0
booking_2010_2012,TDC_BWHold,289059.0,0.0073791163741658275,0.11791812702836092,0.0,0.0,0.0,0.0,5.0
booking_2010_2012,OtherHold,289059.0,0.1313538066623077,0.7686985254700742,0.0,0.0,0.0,0.0,35.0
booking_2010_2012,ActiveWrit,289059.0,1.7297506737378875e-05,0.004158998361812533,0.0,0.0,0.0,0.0,1.0
booking_2010_2012,AgeofBooking,80.0,1644.425,211.6526755401196,1247.0,1530.0,1622.0,1727.75,2078.0
booking_2010_2012,TimeBookingtoRelease,288979.0,28.769412310237076,204.68939653248293,0.0,1.0,3.0,20.0,32952.0
booking_2010_2012,BookingChargeID,289059.0,1078791.8064478186,91494.51199072784,1055.0,1007044.5,1079625.0,1152370.5,1589023.0
booking_2010_2012,ChargeCount,289059.0,1.7047834525131547,1.290902480678542,1.0,1.0,1.0,2.0,35.0
booking_2010_2012,ChargeClassID,289059.0,7.488391643228545,1.7595711817325905,1.0,7.0,8.0,9.0,12.0
booking_2010_2012,ChargeDispositionTypeID,289021.0,31.083090848069862,22.78350066330586,1.0,6.0,31.0,54.0,72.0
booking_2010_2012,BookingAuthorityID,289054.0,22.654192642205263,11.267516224013296,1.0,9.0,32.0,32.0,40.0
booking_2010_2012,ChargeStatusID,279804.0,20.147317407899816,12.423468152330257,4.0,4.0,24.0,24.0,44.0
booking_2010_2012,OpenCharge,289059.0,0.00011416354446670056,0.010684142738518082,0.0,0.0,0.0,0.0,1.0
booking_2010_2012,EligibleforBail,289059.0,0.38570326473142164,0.4867618267603554,0.0,0.0,0.0,1.0,1.0
booking_2010_2012,BailTypeID,111491.0,2.671507117166408,1.5704329163908495,1.0,2.0,2.0,2.0,7.0
booking_2010_2012,BailAmount,289059.0,2966.0336782456175,16256.769316446573,0.0,0.0,0.0,2000.0,5162011.0
booking_2013_2016,BookingNumber,289867.0,1443440.716011136,95827.66670248866,1300002.0,1344906.5,1433514.0,1524477.0,1617899.0
booking_2013_2016,mni,289867.0,1872578.931299527,1979381.992506976,23.0,917590.0,1621685.0,1930622.0,8952046.0
booking_2013_2016,PersonID,289867.0,884855.3547661514,1024856.3458877152,135247.0,268829.5,398228.0,465927.0,2945494.0
